reclat,reclong,mass
47.83333,37.66667,8
51.75,4,2
-29.46667,151.61667,3
30.3,109.5,8
47.86667,7.35,2
48.18333,6.46667,2
19.03333,81.89167,8
40.3,44.5,8
1.16667,44.16667,8
52.21667,11.25,2
46.25,-1.1,2
2.88333,30.83333,2
43.41667,-94.83333,6
39.75,-97.03333,6
35.55,-77.53333,6
44.38333,2.81667,2
36.05,-94.16667,6
36.88333,8.45,2
32.53333,-87.16667,6
34.6,116.75,8
36.1,-81.41667,6
43.18111,13.75333,2
47.81667,-96.85,6
30.83333,-97.76667,6
43.25,-93.66667,6
-33.35,146.85833,3
36.78333,-78.08333,6
50.95,7.31667,2
33.01667,-83.96667,6
28.25,7,2
34.48333,-87.83333,6
31.47556,113.56694,8
33.18333,130.2,8
55.33333,10.33333,2
25.95,80.81667,8
32.9,115.9,8
44.3,0.4,2
7.05,12.43333,2
7.05,12.43333,2
51.68333,30.78333,8
27.35,68.53333,8
11.65,-2.18333,2
27.88333,68.53333,8
41.68333,-112.13333,6
12.85,11.03333,2
14.15083,-2.04167,2
12.91667,11.91667,2
35.53333,136.88333,8
37.31667,13.56667,2
9.6,9.91667,2
52.2,6.86667,2
-7.25,107.7,8
57.35,37.61667,8
52.45972,-0.3,2
50.66667,16.76667,2
24.23333,89.05,8
48.28333,38.08333,8
42.9,2.25,2
60.66667,11,2
43.2,-79.61667,6
43.66667,45.38333,8
49.26667,18.71667,2
46.35,30.58333,8
51.93333,15.5,2
52.86667,16.63333,2
-33,-58.61667,4
39.80417,122.76389,8
24.1,105,8
37.1,118.4,8
38.73333,-6.01667,2
43.76667,20.23333,2
13.5,-0.68333,2
9.91667,13.98333,2
22.98333,76.05,8
11.49167,11.65833,2
42.9,24.7,2
13.78333,78.56667,8
9.36667,42.41667,8
51.91667,8.38333,2
35,127.5,8
35.65,139.33333,8
50.31667,3.73333,2
57.81667,16.23333,2
41.38333,-86.6,6
26.8,82.53333,8
28.38333,75.78333,8
32.675,-94.51167,6
38.25,-86.16667,6
35.2945,136.70033,8
28.95,0.81667,2
51.65,-1.51667,2
60.24556,22.06194,8
