reclat,reclong,mass
-29.06667,139.91667,3
-25.43333,17.91667,2
35.58333,-82.53333,6
35.25,-112.5,6
32.9,-102.28333,6
21.875,49.71944,8
29.35944,14.25528,2
29.37972,14.26972,2
29.35833,14.24833,2
29.36583,14.27611,2
29.3945,14.29233,2
26,92,8
19.26667,5.91667,2
22.75,51.16667,8
21.25417,55.305,8
-72.83333,24.5,7
-72.83333,24.5,7
-72.83333,24.5,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72.83333,24.5,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
-72,26,7
23.98611,32.62361,8
31.8,-92.75,6
37.25,-98.13333,6
40.51667,-103.26667,6
40.51667,-103.26667,6
34.38063,-114.16705,6
32.63333,-85.5,6
38.16667,-79.08333,6
48.06667,35.08333,8
36.33333,-105.05,6
-26.66667,16.25,2
-30.85,122.31667,3
31.66,-96.97167,6
17.75793,53.99032,8
-31.61667,118.03333,5
36.3,-82.88333,6
36.3,-82.88333,6
49.32222,1.36556,2
26.2,-107.83333,6
34.613317,-113.398967,6
44.31667,9.98333,2
38.6,58,8
41.28333,-77.05,6
-22.75,120.83333,5
-37.57083,143.82533,3
31.76667,-99.98333,6
-27.7,115.76667,5
-7.53133,-46.04117,2
19.08833,99.01389,8
-23.3,-69.88333,4
-21.21667,-43.93333,2
45.05778,9.19556,2
46.1,12.35,2
-28.08333,-69.33333,4
-35.3,144.56667,3
30.78333,-103.46667,6
30.83333,-97.5,6
46.7,113.28333,8
34,-101.5,6
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
-80.25,153.5,3
43.13333,-102.1,6
55.54867,35.2995,8
41.81667,-103.36667,6
-33,-56,4
-36.8,143.55,3
39.6,-105.3,6
44.5,-104.2,6
36.8,-100.53333,6
38.48417,-113.13639,6
30.83333,-3.33333,2
30.83333,-3.33333,2
-76.03333,160.18333,3
-76.03333,160.18333,3
38.53333,-100.21667,6
36.21667,-103.65,6
35.66117,-115.33333,6
-72.58333,31.25,7
-72.58333,31.25,7
-72.58333,31.25,7
-72.58333,31.25,7
-72.58333,31.25,7
24.9,-105.4,6
37.31667,-97.25,6
-28.08333,24.08333,2
49.5,-113,6
42.73333,-90.35,6
30.36194,5.30083,2
25.33333,83,8
-30.75,117.78333,5
-10.11667,-39.2,2
-37.15,148.91667,3
41,-97.53333,6
49.76667,14.63333,2
49.76667,14.63333,2
30.16667,-5.66667,2
33.58333,-99.8,6
43.5,-101.25,6
53.05,8.1,2
46.75,36.81667,8
50.43845,-95.52937,6
34.23333,-103.38333,6
34.24667,-103.395,6
39.3,-102.41667,6
45.4633,55.23497,8
-31.01667,131.31667,3
-31.03297,131.28547,3
-31.01964,131.30394,3
-31.03278,131.28553,3
33.71333,-113.275,6
-30.55,130.96667,3
67.3,160.8,8
37.06667,-93.55,6
-30.13333,126.36667,3
-34.31667,149.38333,3
-29.88333,150.56667,3
-31.4875,122.12389,3
-34.225,146.38167,3
19.41667,51.03333,8
31.66667,8.41667,2
25.57117,12.37117,2
31.481,9.84069,2
31.93833,10.28403,2
31.49972,9.87722,2
31.87164,10.19361,2
31.89689,10.19572,2
31.89831,10.19528,2
31.92181,10.1875,2
31.92644,10.18961,2
31.92644,10.18961,2
51.95,62.2,8
38,-108.5,6
38.30667,-99.71,6
49.96667,6.53333,2
35.58333,-82.35,6
40.86717,-119.18352,6
34.20583,-103.22222,6
40.5,-101.08333,6
52.77,-106.89667,6
39.91667,-101.2,6
-25,-69.5,4
33.59167,-103.02667,6
45.5,-77,6
38.66167,-115.51833,6
-41.18333,148.03333,3
35.8675,-114.19167,6
35.26667,-107.96667,6
40.2495,-118.93683,6
40.24148,-118.94763,6
40.26752,-118.94308,6
40.27537,-118.9461,6
40.28563,-118.94657,6
40.28338,-118.94808,6
40.28247,-118.94872,6
40.27957,-118.94642,6
40.2628,-118.95912,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.26667,-118.93333,6
40.2819,-118.94693,6
29.87861,-96.87222,6
29.86306,-96.92667,6
-26.92383,-49.05883,4
33.65167,-103.70833,6
-17.16667,-43.83333,2
57.85,114.2,8
29.8,-98.8,6
52.5,68.8,8
49.05,13.76667,2
57.63333,83.36667,8
-23.5,133.83333,3
13.51667,122.45,8
26.26667,-81.75,6
37.21667,-117.08333,6
37.21667,-117.08333,6
-31.15,149.11667,3
-30.06667,141.06667,3
-29.46667,128.35,3
33.26667,-116.38333,6
37.5,-79.75,6
31.15643,-5.15262,2
28.3125,0.23333,2
26.6325,-12.81025,2
26.74853,-12.70978,2
26.81089,-12.71864,2
26.707,-12.759,2
26.819,-12.724,2
31.98333,-3.2,2
34.685,-114.323,6
10.26667,40.56667,8
33.96667,-114.06667,6
44.92222,5.26778,2
-33,26.4,7
-83.5,165,3
48.68333,-97.16667,6
48.78333,-97.35,6
-22.61667,135.2,3
-31.3,138.38333,3
31.05,-99.46667,6
52.5,30.33333,8
41.15333,-96.955,6
40.81,-101.80167,6
37.5825,-99.16361,6
39.25,-101.33333,6
35.71667,-81.86667,6
40.66667,-104.31667,6
34.35,-101.4,6
36.56667,-82.18333,6
-30.58333,23.55,7
41.43333,-99.7,6
-31.83333,141.76667,3
33.28333,-102.96667,6
33.275,-102.96,6
33.275,-102.96,6
38.69667,-99.70833,6
33.21667,-102.18333,6
33.21667,-102.18333,6
33.135,-102.27833,6
33.21667,-102.18333,6
38.295,-121.405,6
63.11667,14.28333,2
52.26667,-105.35,6
34.72453,-114.20883,6
34.73245,-114.22257,6
34.71933,-114.20783,6
34.7345,-114.21717,6
34.70108,-114.18845,6
34.70337,-114.19097,6
-32.95556,136.1375,3
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
50.56667,114.9,8
29.8,-107.55,6
32.24611,-99.99306,6
-29.62917,116.48222,5
38.84833,-98.72383,6
3.98333,41.65,8
38.23333,-99.53333,6
66.4,137.46667,8
32.03333,-99.25,6
63.8,149,8
42.75,-75.18333,6
-32.05,126.16667,3
39.86667,-106.88333,6
35.33333,-99.15,6
-31.96667,125.83333,3
50.65,-109.9,6
-30,20,2
41.23333,-103.9,6
38.3,-94.36667,6
24.5,-104.8,6
-36.4,-59.5,4
-25,-69.5,4
35,-98.33333,6
-34.06667,139.75,3
-26.45,120.36667,5
-27.05,-70.8,4
37.03333,-97.625,6
-24.266,-70.03333,4
